ident,gtdb_representative,superkingdom,phylum,class,order,family,genus,species
GCF_000485535.1,f,d__Archaea,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Halalkalicoccaceae,g__Halalkalicoccus,s__Halalkalicoccus jeotgali
GCA_030638685.1,t,d__Archaea,p__Asgardarchaeota,c__Heimdallarchaeia,o__Heimdallarchaeales,f__DAOWED01,g__DAOWED01,s__DAOWED01 sp030638685
GCA_003163595.1,f,d__Archaea,p__Halobacteriota,c__Bog-38,o__Bog-38,f__Bog-38,g__Bog-38,s__Bog-38 sp003139855
GCA_002782805.1,f,d__Archaea,p__Aenigmatarchaeota,c__Aenigmatarchaeia,o__CG10238-14,f__CG10238-14,g__CG10238-14,s__CG10238-14 sp002789635
GCA_939800415.1,f,d__Archaea,p__Halobacteriota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanocorpusculaceae,g__Methanocorpusculum,s__Methanocorpusculum faecipullorum
GCA_002508335.1,f,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Thermoplasmatales,f__Thermoplasmataceae,g__Cuniculiplasma,s__Cuniculiplasma divulgatum
GCA_002498625.1,f,d__Archaea,p__Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Thalassarchaeaceae,g__UBA36,s__UBA36 sp002506755
GCA_030446425.1,f,d__Archaea,p__Halobacteriota,c__Methanosarcinia,o__Methanosarcinales_A,f__Methermicoccaceae,g__Methermicoccus,s__Methermicoccus shengliensis
GCF_003385755.1,f,d__Archaea,p__Methanobacteriota,c__Methanobacteria,o__Methanobacteriales,f__Methanothermobacteraceae,g__Methanothermobacter,s__Methanothermobacter thermautotrophicus
GCA_021654395.1,t,d__Archaea,p__Micrarchaeota,c__Micrarchaeia,o__Micrarchaeales,f__Micrarchaeaceae,g__ARM-1,s__ARM-1 sp021654395
GCA_000402965.1,f,d__Archaea,p__Thermoproteota,c__Nitrososphaeria_A,o__Caldarchaeales,f__Calditenuaceae,g__AWOC01,s__AWOC01 sp000494185
GCF_000328665.1,t,d__Archaea,p__Halobacteriota,c__Methanosarcinia,o__Methanosarcinales,f__Methanosarcinaceae,g__Methanomethylovorans,s__Methanomethylovorans hollandica
GCA_030861865.1,t,d__Archaea,p__Thermoproteota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrososphaeraceae,g__Nitrososphaera,s__Nitrososphaera sp030861865
GCA_027374575.1,f,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__UBA9642,g__UBA9642,s__UBA9642 sp021813435
GCA_011771385.1,f,d__Archaea,p__Thermoproteota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrosopumilaceae,g__JACEMX01,s__JACEMX01 sp011773785
